,precision,recall,f1-score,support
admiration,0.41161971830985916,0.5475409836065573,0.4699497487437186,2135.0
amusement,0.4083474337281444,0.5829307568438004,0.48026533996683257,1242.0
anger,0.23651191969887075,0.3663751214771623,0.2874571101791842,1029.0
annoyance,0.14591754244139046,0.21629718394248051,0.1742698527636978,1669.0
approval,0.19906635545181728,0.26989150090415914,0.22913068508923431,2212.0
caring,0.183920704845815,0.2545731707317073,0.21355498721227625,656.0
confusion,0.24486571879936808,0.3096903096903097,0.2734891927657697,1001.0
curiosity,0.32186544342507645,0.3607540702656384,0.34020202020202017,1167.0
desire,0.24793388429752067,0.2843601895734597,0.2649006622516556,422.0
disappointment,0.1571969696969697,0.17255717255717257,0.1645193260654113,962.0
disapproval,0.25,0.24058710912571793,0.24520325203252033,1567.0
disgust,0.2766884531590414,0.23388581952117865,0.2534930139720559,543.0
embarrassment,0.19923371647509577,0.19548872180451127,0.19734345351043642,266.0
excitement,0.21680672268907564,0.2231833910034602,0.21994884910485937,578.0
fear,0.42105263157894735,0.4011142061281337,0.41084165477888734,359.0
gratitude,0.7450693937180424,0.7172995780590717,0.7309208169115013,1422.0
grief,0.13043478260869565,0.10344827586206896,0.11538461538461538,87.0
joy,0.2812939521800281,0.2288329519450801,0.2523659305993691,874.0
love,0.5883668903803132,0.5067437379576107,0.5445134575569358,1038.0
nervousness,0.20388349514563106,0.1320754716981132,0.16030534351145037,159.0
neutral,0.5068566530962074,0.4276803471343338,0.4639144930378506,11062.0
optimism,0.3463917525773196,0.18940248027057496,0.2448979591836735,887.0
pride,0.16279069767441862,0.04964539007092199,0.07608695652173914,141.0
realization,0.16879795396419436,0.06875,0.09770540340488527,960.0
relief,0.19402985074626866,0.0755813953488372,0.10878661087866108,172.0
remorse,0.4052863436123348,0.3016393442622951,0.3458646616541353,305.0
sadness,0.3425,0.1814569536423841,0.2372294372294372,755.0
surprise,0.3465346534653465,0.2017291066282421,0.2550091074681239,694.0
accuracy,0.3599988359911535,0.3599988359911535,0.3599988359911535,0.3599988359911535
macro avg,0.29797370120592115,0.2801255264305351,0.2806269264993192,34364.0
weighted avg,0.3753027553760484,0.3599988359911535,0.3613597734179371,34364.0
