,precision,recall,f1-score,support
admiration,0.40912280701754383,0.546135831381733,0.46780341023069205,2135.0
amusement,0.4070695553021665,0.5748792270531401,0.4766355140186916,1242.0
anger,0.23764853033145716,0.369290573372206,0.28919330289193307,1029.0
annoyance,0.14751426242868787,0.21689634511683642,0.17560029105020616,1669.0
approval,0.20296695886716115,0.2721518987341772,0.2325222093472383,2212.0
caring,0.18232662192393737,0.24847560975609756,0.21032258064516127,656.0
confusion,0.23884103367267032,0.3046953046953047,0.2677787532923618,1001.0
curiosity,0.32142857142857145,0.36246786632390743,0.3407168747482883,1167.0
desire,0.2542372881355932,0.2843601895734597,0.2684563758389262,422.0
disappointment,0.15950334288443171,0.1735966735966736,0.16625186660029864,962.0
disapproval,0.24703557312252963,0.2393107849393746,0.2431118314424635,1567.0
disgust,0.28125,0.23204419889502761,0.2542885973763875,543.0
embarrassment,0.1953125,0.18796992481203006,0.19157088122605362,266.0
excitement,0.21717171717171718,0.2231833910034602,0.22013651877133103,578.0
fear,0.4207492795389049,0.40668523676880225,0.41359773371104813,359.0
gratitude,0.7496360989810772,0.7243319268635724,0.7367668097281831,1422.0
grief,0.13043478260869565,0.10344827586206896,0.11538461538461538,87.0
joy,0.282336578581363,0.2322654462242563,0.25486503452605147,874.0
love,0.5769230769230769,0.5057803468208093,0.5390143737166324,1038.0
nervousness,0.2079207920792079,0.1320754716981132,0.16153846153846155,159.0
neutral,0.5070482699700982,0.4292171397577292,0.4648976794281798,11062.0
optimism,0.35542168674698793,0.1995490417136415,0.25559566787003607,887.0
pride,0.16279069767441862,0.04964539007092199,0.07608695652173914,141.0
realization,0.17054263565891473,0.06875,0.0979955456570156,960.0
relief,0.21212121212121213,0.08139534883720931,0.11764705882352941,172.0
remorse,0.3900414937759336,0.3081967213114754,0.3443223443223443,305.0
sadness,0.351010101010101,0.18410596026490067,0.24152910512597742,755.0
surprise,0.3465346534653465,0.2017291066282421,0.2550091074681239,694.0
accuracy,0.36087184262600397,0.36087184262600397,0.36087184262600397,0.36087184262600397
macro avg,0.29874786147935023,0.2808083297169704,0.28137998218935606,34364.0
weighted avg,0.37566905237051157,0.36087184262600397,0.36208714783496404,34364.0
