,precision,recall,f1-score,support
admiration,0.0550601008142691,0.07012345679012345,0.061685490877497834,2025.0
amusement,0.03659976387249114,0.024839743589743588,0.029594272076372313,1248.0
anger,0.02526315789473684,0.011385199240986717,0.015696533682145193,1054.0
annoyance,0.06611570247933884,0.0148975791433892,0.024316109422492405,1611.0
approval,0.09740259740259741,0.013501350135013501,0.023715415019762848,2222.0
caring,0.042042042042042045,0.019830028328611898,0.026948989412897018,706.0
confusion,0.017482517482517484,0.005025125628140704,0.0078064012490242,995.0
curiosity,0.0253592561284869,0.025728987993138937,0.02554278416347382,1166.0
desire,0.0070921985815602835,0.0022727272727272726,0.0034423407917383813,440.0
disappointment,0.021897810218978103,0.0032537960954446853,0.005665722379603399,922.0
disapproval,0.045714285714285714,0.005121638924455826,0.009211283822682787,1562.0
disgust,0.02304147465437788,0.008291873963515755,0.012195121951219513,603.0
embarrassment,0.0196078431372549,0.003215434083601286,0.0055248618784530384,311.0
excitement,0.01775147928994083,0.004830917874396135,0.007594936708860759,621.0
fear,0.010752688172043012,0.005571030640668524,0.007339449541284404,359.0
gratitude,0.04706734250543085,0.04669540229885057,0.04688063469166967,1392.0
grief,0.0,0.0,0.0,68.0
joy,0.02631578947368421,0.012941176470588235,0.017350157728706624,850.0
love,0.021897810218978103,0.021494370522006142,0.021694214876033055,977.0
nervousness,0.0,0.0,0.0,156.0
neutral,0.32187264923226694,0.6615734424738517,0.43305352146216586,10995.0
optimism,0.015909090909090907,0.0075107296137339056,0.01020408163265306,932.0
pride,0.0,0.0,0.0,131.0
realization,0.1,0.005393743257820928,0.01023541453428864,927.0
relief,0.0,0.0,0.0,152.0
remorse,0.023809523809523808,0.009933774834437087,0.014018691588785047,302.0
sadness,0.031446540880503145,0.019455252918287938,0.02403846153846154,771.0
surprise,0.021834061135371178,0.007194244604316547,0.010822510822510822,695.0
accuracy,0.22568946860468517,0.22568946860468517,0.22568946860468517,0.22568946860468517
macro avg,0.04004770450177748,0.03607432238206609,0.03052062149474222,34193.0
weighted avg,0.1320558893684498,0.22568946860468517,0.15430928244566142,34193.0
