,precision,recall,f1-score,support
admiration,0.06008087810514154,0.05135802469135802,0.05537806176783812,2025.0
amusement,0.03829787234042553,0.028846153846153848,0.03290676416819012,1248.0
anger,0.039182282793867124,0.021821631878557873,0.028031687995124923,1054.0
annoyance,0.05829596412556054,0.008064516129032258,0.014168937329700274,1612.0
approval,0.09116809116809117,0.014388489208633094,0.024854368932038833,2224.0
caring,0.036290322580645164,0.012747875354107648,0.018867924528301886,706.0
confusion,0.024539877300613498,0.008040201005025126,0.01211203633610901,995.0
curiosity,0.0275049115913556,0.0240343347639485,0.02565277141548328,1165.0
desire,0.012578616352201259,0.004545454545454545,0.00667779632721202,440.0
disappointment,0.015151515151515152,0.0021691973969631237,0.003795066413662239,922.0
disapproval,0.05432595573440644,0.01730769230769231,0.026251823043266894,1560.0
disgust,0.027932960893854747,0.008291873963515755,0.01278772378516624,603.0
embarrassment,0.0,0.0,0.0,312.0
excitement,0.02531645569620253,0.0032258064516129032,0.005722460658082976,620.0
fear,0.01276595744680851,0.008356545961002786,0.010101010101010102,359.0
gratitude,0.04536082474226804,0.04741379310344827,0.04636459430979979,1392.0
grief,0.0,0.0,0.0,68.0
joy,0.02287581699346405,0.00823529411764706,0.012110726643598616,850.0
love,0.028242677824267783,0.027635619242579325,0.027935851008794622,977.0
nervousness,0.0,0.0,0.0,156.0
neutral,0.3201837569014203,0.6906363636363636,0.4375269962853111,11000.0
optimism,0.03187250996015936,0.008583690987124463,0.013524936601859678,932.0
pride,0.0,0.0,0.0,131.0
realization,0.11764705882352941,0.0021551724137931034,0.004232804232804232,928.0
relief,0.0,0.0,0.0,152.0
remorse,0.030864197530864196,0.016556291390728478,0.021551724137931036,302.0
sadness,0.02356020942408377,0.011673151750972763,0.015611448395490026,771.0
surprise,0.034482758620689655,0.005738880918220947,0.009840098400984012,697.0
accuracy,0.23446682845530833,0.23446682845530833,0.23446682845530833,0.23446682845530833
macro avg,0.042090052575051266,0.036850930537997706,0.030928843314919997,34201.0
weighted avg,0.1331408045866122,0.23446682845530833,0.15599730645099155,34201.0
