,precision,recall,f1-score,support
admiration,0.5088282504012841,0.4454332552693208,0.475024975024975,2135.0
amusement,0.46364985163204747,0.5032206119162641,0.4826254826254826,1242.0
anger,0.2636289666395443,0.31486880466472306,0.2869796279893711,1029.0
annoyance,0.16868279569892472,0.15038945476333135,0.15901171998732974,1669.0
approval,0.23085780080598733,0.18128390596745028,0.20308938971891616,2212.0
caring,0.21894409937888198,0.2149390243902439,0.2169230769230769,656.0
confusion,0.2481827622014538,0.23876123876123875,0.24338085539714868,1001.0
curiosity,0.33840304182509506,0.3050556983718937,0.32086525461919785,1167.0
desire,0.2745664739884393,0.22511848341232227,0.24739583333333331,422.0
disappointment,0.15822130299896586,0.15904365904365905,0.15863141524105756,962.0
disapproval,0.2716873212583413,0.1818761965539247,0.21788990825688073,1567.0
disgust,0.24770642201834864,0.24861878453038674,0.2481617647058824,543.0
embarrassment,0.18529411764705883,0.23684210526315788,0.2079207920792079,266.0
excitement,0.21649484536082475,0.18166089965397925,0.1975540921919097,578.0
fear,0.3926829268292683,0.44846796657381616,0.41872561768530564,359.0
gratitude,0.7488954344624448,0.7151898734177216,0.7316546762589928,1422.0
grief,0.10204081632653061,0.05747126436781609,0.07352941176470588,87.0
joy,0.26689576174112256,0.2665903890160183,0.26674298797939316,874.0
love,0.5578034682080925,0.5578034682080925,0.5578034682080925,1038.0
nervousness,0.1875,0.16981132075471697,0.17821782178217824,159.0
neutral,0.4793490895001937,0.5592117157837643,0.5162097884591312,11062.0
optimism,0.29004854368932037,0.26944757609921083,0.2793687901811806,887.0
pride,0.1402439024390244,0.16312056737588654,0.15081967213114755,141.0
realization,0.15983026874115983,0.11770833333333333,0.13557288542291543,960.0
relief,0.17575757575757575,0.1686046511627907,0.17210682492581603,172.0
remorse,0.36538461538461536,0.3737704918032787,0.3695299837925446,305.0
sadness,0.2775800711743772,0.30993377483443707,0.2928660826032541,755.0
surprise,0.34705882352941175,0.25504322766570603,0.2940199335548172,694.0
accuracy,0.3858980328250495,0.3858980328250495,0.3858980328250495,0.3858980328250495
macro avg,0.2959364053442262,0.286403097962803,0.2893793618872587,34364.0
weighted avg,0.3753167288794079,0.3858980328250495,0.378337434688138,34364.0
