,precision,recall,f1-score,support
admiration,0.6440677966101694,0.10679156908665105,0.18320610687022898,2135.0
amusement,0.7708333333333334,0.029790660225442835,0.05736434108527132,1242.0
anger,0.6875,0.010689990281827016,0.021052631578947368,1029.0
annoyance,0.4,0.0035949670461354103,0.007125890736342042,1669.0
approval,0.4864864864864865,0.0081374321880651,0.01600711427301023,2212.0
caring,0.0,0.0,0.0,656.0
confusion,0.6666666666666666,0.001998001998001998,0.00398406374501992,1001.0
curiosity,0.42857142857142855,0.002570694087403599,0.005110732538330494,1167.0
desire,0.0,0.0,0.0,422.0
disappointment,0.0,0.0,0.0,962.0
disapproval,0.25,0.0006381620931716656,0.001273074474856779,1567.0
disgust,0.8,0.007366482504604052,0.014598540145985403,543.0
embarrassment,0.0,0.0,0.0,266.0
excitement,1.0,0.005190311418685121,0.010327022375215145,578.0
fear,0.0,0.0,0.0,359.0
gratitude,0.9096774193548387,0.2974683544303797,0.4483306836248012,1422.0
grief,0.0,0.0,0.0,87.0
joy,0.3448275862068966,0.011441647597254004,0.0221483942414175,874.0
love,0.8,0.04238921001926782,0.08051235132662397,1038.0
nervousness,0.0,0.0,0.0,159.0
neutral,0.32998018137048823,0.9934008316760079,0.4954016770354341,11062.0
optimism,0.4166666666666667,0.005636978579481398,0.011123470522803113,887.0
pride,0.0,0.0,0.0,141.0
realization,1.0,0.0010416666666666667,0.002081165452653486,960.0
relief,0.0,0.0,0.0,172.0
remorse,0.0,0.0,0.0,305.0
sadness,0.5,0.0013245033112582781,0.0026420079260237777,755.0
surprise,0.6666666666666666,0.002881844380403458,0.005738880918220946,694.0
accuracy,0.3430334070538936,0.3430334070538936,0.3430334070538936,0.3430334070538936
macro avg,0.39649800828334436,0.054726903842525265,0.04957243388825664,34364.0
weighted avg,0.45397983096655675,0.3430334070538936,0.19775433011205967,34364.0
