,precision,recall,f1-score,support
admiration,0.4828080229226361,0.1578454332552693,0.23791034239322276,2135.0
amusement,0.5658720200752823,0.36312399355877617,0.4423737126042177,1242.0
anger,0.0,0.0,0.0,1029.0
annoyance,0.0625,0.0005991611743559018,0.0011869436201780415,1669.0
approval,0.0,0.0,0.0,2212.0
caring,0.2857142857142857,0.003048780487804878,0.006033182503770739,656.0
confusion,0.0,0.0,0.0,1001.0
curiosity,0.16666666666666666,0.001713796058269066,0.0033927056827820186,1167.0
desire,0.125,0.002369668246445498,0.004651162790697675,422.0
disappointment,0.0,0.0,0.0,962.0
disapproval,0.2,0.0019144862795149968,0.003792667509481669,1567.0
disgust,0.0,0.0,0.0,543.0
embarrassment,0.0,0.0,0.0,266.0
excitement,0.26666666666666666,0.020761245674740483,0.038523274478330656,578.0
fear,0.0,0.0,0.0,359.0
gratitude,0.8671152228763667,0.7250351617440225,0.7897357334354654,1422.0
grief,0.0,0.0,0.0,87.0
joy,0.3453389830508475,0.18649885583524028,0.24219910846953935,874.0
love,0.6046747967479674,0.5732177263969171,0.5885262116716122,1038.0
nervousness,0.0,0.0,0.0,159.0
neutral,0.35964942312301,0.9496474416922799,0.5217153783119366,11062.0
optimism,0.433264887063655,0.237880496054115,0.3071324599708879,887.0
pride,0.0,0.0,0.0,141.0
realization,0.0,0.0,0.0,960.0
relief,0.2,0.005813953488372093,0.011299435028248586,172.0
remorse,0.4186666666666667,0.5147540983606558,0.4617647058823529,305.0
sadness,0.2,0.0026490066225165563,0.00522875816993464,755.0
surprise,0.5,0.001440922190201729,0.002873563218390804,694.0
accuracy,0.3921254801536492,0.3921254801536492,0.3921254801536492,0.3921254801536492
macro avg,0.21728348719907326,0.13386836525426773,0.13101211949075178,34364.0
weighted avg,0.28883396422191215,0.3921254801536492,0.2687515801800791,34364.0
