,precision,recall,f1-score,support
admiration,0.3724315068493151,0.20374707259953162,0.2633969118982743,2135.0
amusement,0.5699873896595208,0.3639291465378422,0.4442260442260442,1242.0
anger,0.5,0.0009718172983479105,0.0019398642095053344,1029.0
annoyance,0.07692307692307693,0.0005991611743559018,0.0011890606420927466,1669.0
approval,0.0,0.0,0.0,2212.0
caring,0.2222222222222222,0.003048780487804878,0.006015037593984963,656.0
confusion,0.0,0.0,0.0,1001.0
curiosity,0.0,0.0,0.0,1167.0
desire,0.09090909090909091,0.002369668246445498,0.004618937644341802,422.0
disappointment,0.0,0.0,0.0,962.0
disapproval,0.15384615384615385,0.0012763241863433313,0.0025316455696202536,1567.0
disgust,0.0,0.0,0.0,543.0
embarrassment,0.0,0.0,0.0,266.0
excitement,0.27906976744186046,0.020761245674740483,0.03864734299516908,578.0
fear,0.0,0.0,0.0,359.0
gratitude,0.8652719665271966,0.7271448663853727,0.7902178066488346,1422.0
grief,0.0,0.0,0.0,87.0
joy,0.3468085106382979,0.18649885583524028,0.24255952380952384,874.0
love,0.5972222222222222,0.5799614643545279,0.5884652981427175,1038.0
nervousness,0.0,0.0,0.0,159.0
neutral,0.3612793206654138,0.9384378954981016,0.5217107246959494,11062.0
optimism,0.4317718940936864,0.23900789177001128,0.3076923076923077,887.0
pride,0.0,0.0,0.0,141.0
realization,0.0,0.0,0.0,960.0
relief,0.3333333333333333,0.005813953488372093,0.011428571428571429,172.0
remorse,0.42670157068062825,0.5344262295081967,0.47452692867540025,305.0
sadness,0.125,0.0013245033112582781,0.002621231979030144,755.0
surprise,0.0,0.0,0.0,694.0
accuracy,0.391776277499709,0.391776277499709,0.391776277499709,0.391776277499709
macro avg,0.2054563580718578,0.13604710272701762,0.1322066870661203,34364.0
weighted avg,0.2778262353708476,0.391776277499709,0.2703276225422832,34364.0
