,precision,recall,f1-score,support
admiration,0.4768380790480238,0.5255269320843091,0.4999999999999999,2135.0
amusement,0.4863013698630137,0.5144927536231884,0.5,1242.0
anger,0.31368631368631367,0.3051506316812439,0.30935960591133005,1029.0
annoyance,0.1806930693069307,0.13121629718394248,0.15203054494967022,1669.0
approval,0.22608695652173913,0.1410488245931284,0.17371937639198218,2212.0
caring,0.2138047138047138,0.19359756097560976,0.20320000000000002,656.0
confusion,0.2857142857142857,0.1798201798201798,0.2207234825260576,1001.0
curiosity,0.317545748116254,0.2527849185946872,0.2814885496183206,1167.0
desire,0.3026706231454006,0.24170616113744076,0.26877470355731226,422.0
disappointment,0.16732026143790849,0.13305613305613306,0.14823393167342214,962.0
disapproval,0.2170347003154574,0.21952776005105296,0.2182741116751269,1567.0
disgust,0.2465277777777778,0.26151012891344383,0.2537980339588919,543.0
embarrassment,0.2711864406779661,0.18045112781954886,0.21670428893905191,266.0
excitement,0.23501199040767387,0.1695501730103806,0.19698492462311556,578.0
fear,0.40816326530612246,0.4456824512534819,0.42609853528628494,359.0
gratitude,0.744,0.7194092827004219,0.7314980336074365,1422.0
grief,0.16,0.04597701149425287,0.07142857142857142,87.0
joy,0.28799019607843135,0.26887871853546913,0.2781065088757396,874.0
love,0.5689320388349515,0.5645472061657033,0.5667311411992263,1038.0
nervousness,0.2602739726027397,0.11949685534591195,0.16379310344827586,159.0
neutral,0.4559651097355093,0.5859699873440607,0.5128570298283092,11062.0
optimism,0.3056179775280899,0.30665163472378804,0.30613393359594826,887.0
pride,0.22666666666666666,0.12056737588652482,0.1574074074074074,141.0
realization,0.1652046783625731,0.11770833333333333,0.13746958637469586,960.0
relief,0.18604651162790697,0.046511627906976744,0.07441860465116278,172.0
remorse,0.3993993993993994,0.4360655737704918,0.4169278996865204,305.0
sadness,0.3395176252319109,0.2423841059602649,0.2828438948995363,755.0
surprise,0.31343283582089554,0.2723342939481268,0.29144178874325366,694.0
accuracy,0.3926783843557211,0.3926783843557211,0.3926783843557211,0.3926783843557211
macro avg,0.3129154502506663,0.2764865728897535,0.2878731283163089,34364.0
weighted avg,0.3710048018068341,0.3926783843557211,0.37674311838551194,34364.0
