,precision,recall,f1-score,support
admiration,0.5163716814159292,0.5466042154566745,0.5310580204778157,2135.0
amusement,0.5217100868403474,0.6288244766505636,0.570281124497992,1242.0
anger,0.3437057991513437,0.23615160349854228,0.2799539170506912,1029.0
annoyance,0.20609579100145137,0.08508088675853805,0.12044105173876167,1669.0
approval,0.30428134556574926,0.08996383363471971,0.1388695045359386,2212.0
caring,0.27586206896551724,0.12195121951219512,0.16913319238900634,656.0
confusion,0.336996336996337,0.0919080919080919,0.14442700156985872,1001.0
curiosity,0.325187969924812,0.14824335904027422,0.20364920541495,1167.0
desire,0.38235294117647056,0.2156398104265403,0.2757575757575758,422.0
disappointment,0.23555555555555555,0.0550935550935551,0.08930075821398484,962.0
disapproval,0.21328671328671328,0.0778557753669432,0.11407199625993454,1567.0
disgust,0.3550488599348534,0.2007366482504604,0.2564705882352941,543.0
embarrassment,0.6666666666666666,0.015037593984962405,0.029411764705882353,266.0
excitement,0.38202247191011235,0.11764705882352941,0.1798941798941799,578.0
fear,0.538860103626943,0.28969359331476324,0.3768115942028986,359.0
gratitude,0.768595041322314,0.7848101265822784,0.7766179540709811,1422.0
grief,0.0,0.0,0.0,87.0
joy,0.3833605220228385,0.26887871853546913,0.31607262945527914,874.0
love,0.5583126550868487,0.6502890173410405,0.6008010680907878,1038.0
nervousness,0.0,0.0,0.0,159.0
neutral,0.427584855757457,0.789188211896583,0.5546554846087868,11062.0
optimism,0.4261006289308176,0.3055242390078918,0.35587655942219304,887.0
pride,0.0,0.0,0.0,141.0
realization,0.2912621359223301,0.03125,0.05644402634054563,960.0
relief,0.0,0.0,0.0,172.0
remorse,0.42857142857142855,0.4721311475409836,0.44929797191887677,305.0
sadness,0.3548387096774194,0.2185430463576159,0.27049180327868855,755.0
surprise,0.369140625,0.2723342939481268,0.31343283582089554,694.0
accuracy,0.43600861366546384,0.43600861366546384,0.43600861366546384,0.43600861366546384
macro avg,0.3432775355110806,0.23976359010465512,0.2561864931411357,34364.0
weighted avg,0.3950449866906004,0.43600861366546384,0.37735344081671207,34364.0
