,precision,recall,f1-score,support
admiration,0.5573883161512028,0.3798594847775176,0.45181058495821724,2135.0
amusement,0.4779116465863454,0.28743961352657005,0.358974358974359,1242.0
anger,0.3333333333333333,0.15257531584062195,0.20933333333333332,1029.0
annoyance,0.17801047120418848,0.06111443978430198,0.09099018733273863,1669.0
approval,0.24311926605504589,0.07188065099457505,0.11095603628750873,2212.0
caring,0.27177700348432055,0.11890243902439024,0.16542948038176034,656.0
confusion,0.2837370242214533,0.08191808191808192,0.12713178294573643,1001.0
curiosity,0.3907766990291262,0.1379605826906598,0.20392653578214062,1167.0
desire,0.31213872832369943,0.12796208530805686,0.1815126050420168,422.0
disappointment,0.20557491289198607,0.061330561330561334,0.0944755804643715,962.0
disapproval,0.2751004016064257,0.0874282067645182,0.13268765133171914,1567.0
disgust,0.336283185840708,0.13996316758747698,0.1976592977893368,543.0
embarrassment,0.22137404580152673,0.10902255639097744,0.14609571788413098,266.0
excitement,0.27049180327868855,0.11418685121107267,0.16058394160583941,578.0
fear,0.44075829383886256,0.2590529247910863,0.32631578947368417,359.0
gratitude,0.7593722755013078,0.6125175808720112,0.6780848579213702,1422.0
grief,0.1320754716981132,0.08045977011494253,0.1,87.0
joy,0.34844868735083534,0.16704805491990846,0.22583139984532094,874.0
love,0.610648918469218,0.3535645472061657,0.4478340451494814,1038.0
nervousness,0.22388059701492538,0.09433962264150944,0.13274336283185842,159.0
neutral,0.37546171927468097,0.8086241186042307,0.5128131628733589,11062.0
optimism,0.36619718309859156,0.14656144306651633,0.20933977455716582,887.0
pride,0.1411764705882353,0.0851063829787234,0.10619469026548671,141.0
realization,0.18487394957983194,0.04583333333333333,0.0734557595993322,960.0
relief,0.12162162162162163,0.05232558139534884,0.07317073170731707,172.0
remorse,0.3516483516483517,0.2098360655737705,0.26283367556468173,305.0
sadness,0.35947712418300654,0.1456953642384106,0.2073515551366635,755.0
surprise,0.3408450704225352,0.17435158501440923,0.23069590085795996,694.0
accuracy,0.3859271330462111,0.3859271330462111,0.3859271330462111,0.3859271330462111
macro avg,0.32548223471779175,0.1845307289964196,0.2220797071391747,34364.0
weighted avg,0.36588987212385543,0.3859271330462111,0.3270304854487668,34364.0
