,precision,recall,f1-score,support
admiration,0.5033975084937712,0.41776315789473684,0.4565998972778634,2128.0
amusement,0.46731234866828086,0.31179321486268174,0.3740310077519379,1238.0
anger,0.2989247311827957,0.13748763600395647,0.18834688346883469,1011.0
annoyance,0.20075757575757575,0.03187011425135298,0.0550077841203944,1663.0
approval,0.425414364640884,0.034904805077062555,0.06451612903225806,2206.0
caring,0.2523809523809524,0.08091603053435115,0.12254335260115606,655.0
confusion,0.2981651376146789,0.065,0.10673234811165846,1000.0
curiosity,0.3139784946236559,0.2506437768240343,0.27875894988066824,1165.0
desire,0.34810126582278483,0.13221153846153846,0.19163763066202089,416.0
disappointment,0.2336448598130841,0.026068821689259645,0.04690431519699812,959.0
disapproval,0.27391304347826084,0.04028132992327366,0.07023411371237458,1564.0
disgust,0.36036036036036034,0.14760147601476015,0.2094240837696335,542.0
embarrassment,0.26229508196721313,0.06015037593984962,0.09785932721712538,266.0
excitement,0.3425925925925926,0.0642361111111111,0.10818713450292397,576.0
fear,0.5147058823529411,0.2949438202247191,0.375,356.0
gratitude,0.606694560669456,0.5098452883263009,0.554069545280856,1422.0
grief,0.1724137931034483,0.05747126436781609,0.08620689655172414,87.0
joy,0.32014388489208634,0.10183066361556065,0.1545138888888889,874.0
love,0.5885588558855885,0.5169082125603864,0.5504115226337448,1035.0
nervousness,0.4444444444444444,0.05063291139240506,0.0909090909090909,158.0
neutral,0.3782930678645138,0.8520645337708505,0.523961661341853,10971.0
optimism,0.3611111111111111,0.13205417607223477,0.19338842975206613,886.0
pride,0.5,0.05,0.09090909090909091,140.0
realization,0.2,0.010427528675703858,0.019821605550049554,959.0
relief,0.07692307692307693,0.005847953216374269,0.010869565217391304,171.0
remorse,0.4020618556701031,0.12871287128712872,0.195,303.0
sadness,0.33093525179856115,0.184,0.2365038560411311,750.0
surprise,0.30851063829787234,0.0838150289017341,0.13181818181818183,692.0
accuracy,0.3923317638113064,0.3923317638113064,0.3923317638113064,0.3923317638113064
macro avg,0.3495012407289319,0.1706958086071137,0.1994345104357113,34193.0
weighted avg,0.37031153028100194,0.3923317638113064,0.3139836392465596,34193.0
