,precision,recall,f1-score,support
admiration,0.43515439429928743,0.43024894316580553,0.432687765706188,2129.0
amusement,0.4575569358178054,0.35731608730800324,0.401270994098956,1237.0
anger,0.28431372549019607,0.20079129574678536,0.23536231884057973,1011.0
annoyance,0.22018348623853212,0.04326923076923077,0.07232546459065796,1664.0
approval,0.25161290322580643,0.03535811423390753,0.062003179650238466,2206.0
caring,0.32211538461538464,0.10229007633587786,0.1552723059096176,655.0
confusion,0.2608695652173913,0.06,0.09756097560975609,1000.0
curiosity,0.3422222222222222,0.1982832618025751,0.25108695652173907,1165.0
desire,0.3674698795180723,0.14628297362110312,0.20926243567753003,417.0
disappointment,0.19327731092436976,0.023983315954118872,0.04267161410018553,959.0
disapproval,0.25054466230936817,0.07352941176470588,0.11369253583786455,1564.0
disgust,0.27485380116959063,0.17343173431734318,0.21266968325791855,542.0
embarrassment,0.4418604651162791,0.07142857142857142,0.12297734627831715,266.0
excitement,0.39090909090909093,0.07465277777777778,0.12536443148688048,576.0
fear,0.44493392070484583,0.28291316526610644,0.3458904109589041,357.0
gratitude,0.5149900066622252,0.5436005625879043,0.528908655490934,1422.0
grief,0.22727272727272727,0.05747126436781609,0.09174311926605504,87.0
joy,0.3488372093023256,0.12013729977116705,0.17872340425531916,874.0
love,0.5756906077348066,0.5033816425120773,0.5371134020618556,1035.0
nervousness,0.42857142857142855,0.0759493670886076,0.12903225806451613,158.0
neutral,0.3836431868179269,0.8105349494213069,0.5207869773978218,10973.0
optimism,0.40671641791044777,0.12302483069977427,0.18890814558058927,886.0
pride,0.6363636363636364,0.05,0.09271523178807947,140.0
realization,0.35294117647058826,0.006256517205422315,0.012295081967213115,959.0
relief,0.0,0.0,0.0,172.0
remorse,0.37267080745341613,0.19672131147540983,0.2575107296137339,305.0
sadness,0.3132530120481928,0.24266666666666667,0.2734785875281743,750.0
surprise,0.27751196172248804,0.0838150289017341,0.12874583795782465,692.0
accuracy,0.38762024502207537,0.38762024502207537,0.38762024502207537,0.38762024502207537
macro avg,0.34915499736101613,0.18169065714963567,0.20785928033919462,34201.0
weighted avg,0.35705442878132504,0.38762024502207537,0.3165454497842559,34201.0
