,precision,recall,f1-score,support
admiration,0.46122614697523345,0.5320843091334895,0.4941278816876903,2135.0
amusement,0.45675482487491065,0.5144927536231884,0.48390761075350247,1242.0
anger,0.30740037950664134,0.31486880466472306,0.31108977436389823,1029.0
annoyance,0.1729442970822281,0.19532654284002396,0.18345526167698367,1669.0
approval,0.21348314606741572,0.23191681735985534,0.22231852654387865,2212.0
caring,0.19664268585131894,0.25,0.22013422818791947,656.0
confusion,0.24461105904404873,0.26073926073926074,0.25241779497098643,1001.0
curiosity,0.33163265306122447,0.3341902313624679,0.33290653008962867,1167.0
desire,0.27114427860696516,0.25829383886255924,0.2645631067961165,422.0
disappointment,0.15406162464985995,0.17151767151767153,0.162321692080669,962.0
disapproval,0.23444444444444446,0.2693044033184429,0.2506682506682507,1567.0
disgust,0.24394785847299813,0.24125230202578268,0.2425925925925926,543.0
embarrassment,0.2,0.17293233082706766,0.18548387096774194,266.0
excitement,0.22156862745098038,0.19550173010380623,0.20772058823529413,578.0
fear,0.42045454545454547,0.41225626740947074,0.41631504922644164,359.0
gratitude,0.731311706629055,0.729254571026723,0.7302816901408451,1422.0
grief,0.11290322580645161,0.08045977011494253,0.09395973154362415,87.0
joy,0.2785622593068036,0.2482837528604119,0.26255293405928615,874.0
love,0.5904017857142857,0.5096339113680154,0.5470527404343329,1038.0
nervousness,0.17763157894736842,0.16981132075471697,0.17363344051446944,159.0
neutral,0.5043587756683456,0.47071054058940515,0.4869540821097914,11062.0
optimism,0.2807215332581736,0.2807215332581736,0.2807215332581736,887.0
pride,0.14666666666666667,0.07801418439716312,0.10185185185185185,141.0
realization,0.16228070175438597,0.115625,0.13503649635036497,960.0
relief,0.15853658536585366,0.1511627906976744,0.15476190476190477,172.0
remorse,0.37919463087248323,0.3704918032786885,0.3747927031509121,305.0
sadness,0.29836512261580383,0.2900662251655629,0.2941571524513096,755.0
surprise,0.3008474576271186,0.3069164265129683,0.303851640513552,694.0
accuracy,0.3740251425910837,0.3740251425910837,0.3740251425910837,0.3740251425910837
macro avg,0.29471780720627183,0.29127961049329487,0.29177252357078615,34364.0
weighted avg,0.37832301855326567,0.3740251425910837,0.3752745633711944,34364.0
