,precision,recall,f1-score,support
admiration,0.5020491803278688,0.45901639344262296,0.4795693662833374,2135.0
amusement,0.5218023255813954,0.2890499194847021,0.37202072538860104,1242.0
anger,0.3538011695906433,0.11758989310009718,0.17651349380014586,1029.0
annoyance,0.1712,0.06411024565608149,0.09328683522231909,1669.0
approval,0.2227324913892078,0.08770343580470162,0.1258514433992864,2212.0
caring,0.23809523809523808,0.06097560975609756,0.0970873786407767,656.0
confusion,0.28651685393258425,0.05094905094905095,0.08651399491094149,1001.0
curiosity,0.38317757009345793,0.10539845758354756,0.1653225806451613,1167.0
desire,0.4722222222222222,0.04028436018957346,0.074235807860262,422.0
disappointment,0.2619047619047619,0.034303534303534305,0.06066176470588235,962.0
disapproval,0.25157232704402516,0.07657945118059988,0.11741682974559686,1567.0
disgust,0.4268292682926829,0.06445672191528545,0.112,543.0
embarrassment,0.09090909090909091,0.0037593984962406013,0.007220216606498194,266.0
excitement,0.3380281690140845,0.04152249134948097,0.07395993836671803,578.0
fear,0.38461538461538464,0.027855153203342618,0.05194805194805194,359.0
gratitude,0.7482571649883811,0.679324894514768,0.7121267969037964,1422.0
grief,0.0,0.0,0.0,87.0
joy,0.370242214532872,0.12242562929061784,0.18400687876182287,874.0
love,0.6570397111913358,0.35067437379576105,0.45728643216080395,1038.0
nervousness,0.0,0.0,0.0,159.0
neutral,0.3671188833124216,0.8464111372265413,0.5121150795821254,11062.0
optimism,0.3920863309352518,0.12288613303269448,0.18712446351931333,887.0
pride,0.0,0.0,0.0,141.0
realization,0.22556390977443608,0.03125,0.05489478499542543,960.0
relief,0.0,0.0,0.0,172.0
remorse,0.375,0.03934426229508197,0.0712166172106825,305.0
sadness,0.44025157232704404,0.09271523178807947,0.15317286652078776,755.0
surprise,0.3972602739726027,0.08357348703170028,0.1380952380952381,694.0
accuracy,0.38685834012338494,0.38685834012338494,0.38685834012338494,0.38685834012338494
macro avg,0.3170812897873926,0.1390056880496501,0.16298741375977052,34364.0
weighted avg,0.366805975225543,0.38685834012338494,0.3086865298795712,34364.0
