,precision,recall,f1-score,support
admiration,0.48234280792420325,0.5245901639344263,0.5025802109041956,2135.0
amusement,0.47588192944564434,0.5322061191626409,0.5024705435195743,1242.0
anger,0.3088071348940914,0.2691933916423712,0.28764278296988577,1029.0
annoyance,0.17191283292978207,0.12762133013780708,0.1464924346629986,1669.0
approval,0.21986851716581446,0.1360759493670886,0.16810946662943313,2212.0
caring,0.1966794380587484,0.2347560975609756,0.2140375260597637,656.0
confusion,0.2520775623268698,0.18181818181818182,0.21125943122460825,1001.0
curiosity,0.2920738327904452,0.23050556983718937,0.25766283524904215,1167.0
desire,0.30103806228373703,0.20616113744075829,0.24472573839662445,422.0
disappointment,0.19649122807017544,0.11642411642411643,0.1462140992167102,962.0
disapproval,0.23226351351351351,0.17549457562220805,0.19992729916394042,1567.0
disgust,0.3157894736842105,0.22099447513812154,0.2600216684723727,543.0
embarrassment,0.22875816993464052,0.13157894736842105,0.16706443914081145,266.0
excitement,0.20884520884520885,0.14705882352941177,0.17258883248730963,578.0
fear,0.40076335877862596,0.2924791086350975,0.3381642512077295,359.0
gratitude,0.6588525601480567,0.7510548523206751,0.7019388761091029,1422.0
grief,0.045454545454545456,0.011494252873563218,0.01834862385321101,87.0
joy,0.31710914454277284,0.2459954233409611,0.2770618556701031,874.0
love,0.5425330812854442,0.5529865125240848,0.5477099236641222,1038.0
nervousness,0.27586206896551724,0.10062893081761007,0.14746543778801846,159.0
neutral,0.4349531343482018,0.5914843608750678,0.5012832790653132,11062.0
optimism,0.3099121706398996,0.27846674182638104,0.2933491686460808,887.0
pride,0.0847457627118644,0.03546099290780142,0.05,141.0
realization,0.17891373801916932,0.11666666666666667,0.1412358133669609,960.0
relief,0.15789473684210525,0.03488372093023256,0.05714285714285714,172.0
remorse,0.40654205607476634,0.28524590163934427,0.3352601156069364,305.0
sadness,0.3022556390977444,0.2662251655629139,0.2830985915492958,755.0
surprise,0.3110367892976589,0.2680115273775216,0.2879256965944272,694.0
accuracy,0.38578163194040277,0.38578163194040277,0.38578163194040277,0.38578163194040277
macro avg,0.29677351778833777,0.25234153704577283,0.26645649279862244,34364.0
weighted avg,0.3579701409609779,0.38578163194040277,0.3647289268606893,34364.0
